cell,drug,true_ic50,predicted_ic50
ACH-000655,126565,0.812129,1.0614041090011597
ACH-000655,176158,4.637911,5.135137557983398
ACH-000655,6505803,0.63951,1.7431312799453735
ACH-000655,5311497,-2.587732,-3.017394542694092
ACH-000655,11667893,5.972451,5.659232139587402
ACH-000655,5278396,5.718763,5.31280517578125
ACH-000655,10184653,1.857086,2.0886361598968506
ACH-000655,24776445,5.110894,5.277210235595703
ACH-000655,24180719,4.990863,4.8975324630737305
ACH-000655,11327430,4.252029,4.243190765380859
ACH-000655,16720766,1.527268,1.6388436555862427
ACH-000655,11488320,4.387899,5.0262579917907715
ACH-000655,156422,5.087093,5.48409366607666
ACH-000655,11624601,5.502396,5.339991569519043
ACH-000655,51042438,4.452633,4.22234582901001
ACH-000655,24737642,5.254628,5.305383682250977
ACH-000655,10384072,3.044659,3.198817014694214
ACH-000655,11433190,6.492789,6.15519380569458
ACH-000655,208908,4.086126,3.9992480278015137
ACH-000655,1401,4.200543,4.398669719696045
ACH-000655,9914412,3.586314,2.9853484630584717
ACH-000655,24771867,1.223707,1.7912557125091553
ACH-000655,56649450,4.467967,4.470300674438477
ACH-000655,46930998,3.73446,4.262701988220215
ACH-000655,5330286,4.898682,4.832558631896973
ACH-000655,51001932,2.788018,3.5017483234405518
ACH-000655,57345410,6.045261,5.6777663230896
ACH-000655,11977753,-0.468857,-0.9744011163711548
ACH-000655,17755052,2.188399,2.419365644454956
ACH-000655,25262965,0.863816,0.7938141822814941
ACH-000655,9826528,3.39196,2.9764699935913086
ACH-000655,24866313,3.359203,4.031013488769531
ACH-000655,10127622,4.906826,4.849603652954102
ACH-000655,9927531,4.3547,5.058217525482178
ACH-000655,2155128,2.533434,3.0450801849365234
ACH-000655,3899,5.298367,5.063445091247559
ACH-000655,2314623,6.03347,5.429084777832031
ACH-000655,11404337,0.604621,0.48165789246559143
ACH-000655,9938202,3.869864,4.027354717254639
ACH-000655,25227847,2.393474,3.716480255126953
ACH-000655,46883536,5.537355,5.17681360244751
ACH-000655,3385,6.625184,5.333235263824463
ACH-000655,68947304,3.918856,4.905189037322998
ACH-000655,11634725,5.093731,4.295048236846924
ACH-000655,16224745,3.026915,3.940366506576538
ACH-000655,3062316,1.521252,1.5764367580413818
ACH-000655,36314,-3.237313,-2.6311376094818115
ACH-000655,4261,1.784395,2.451620101928711
ACH-000655,11626560,3.175411,3.3630645275115967
ACH-000655,118704762,3.940669,5.244002342224121
ACH-000655,216239,2.840967,2.87300181388855
ACH-000655,11364421,0.838099,1.4978158473968506
ACH-000655,46926973,4.804185,4.5928568840026855
ACH-000655,60838,2.296121,2.231574535369873
ACH-000655,5310940,3.350234,4.0887603759765625
ACH-000655,117072552,4.63292,4.7320966720581055
ACH-000655,51000408,4.717392,4.806912899017334
ACH-000655,25124816,4.829075,4.755765914916992
ACH-000655,59472121,4.130124,4.139540195465088
ACH-000655,72200024,4.033405,4.1194868087768555
ACH-000655,42623951,5.276076,5.169003486633301
ACH-000655,49847690,2.331732,2.2938549518585205
ACH-000655,53469448,3.803234,4.09825325012207
ACH-000655,78243717,5.982389,5.421741485595703
ACH-000655,24753719,3.849781,4.521539211273193
ACH-000655,57519544,4.171766,4.8145246505737305
ACH-000655,46943432,4.98947,4.591536998748779
ACH-000655,9936746,4.631933,4.228656768798828
ACH-000655,71268957,3.2629,3.0844178199768066
ACH-000655,60167849,4.701675,4.987456321716309
ACH-000655,59473233,3.812141,3.768568992614746
ACH-000655,44462758,3.741592,3.7828030586242676
ACH-000655,44631912,3.815706,4.394410610198975
ACH-000655,71299339,5.095504,4.737295150756836
ACH-000655,1018,5.653081,5.2805304527282715
ACH-000655,52918385,6.807911,3.9635348320007324
ACH-000655,11609586,5.348747,4.466348648071289
ACH-000655,42642645,1.70689,1.853869080543518
ACH-000655,46907787,4.832416,3.7591564655303955
ACH-000655,71271629,4.916897,4.528842926025391
ACH-000655,56962337,2.270075,2.2469704151153564
ACH-000655,176870,2.994686,2.8484413623809814
ACH-000655,9931953,5.023772,4.534017562866211
ACH-000655,24958200,4.3641,4.2272047996521
ACH-000655,24856436,1.600925,1.6302567720413208
ACH-000655,46926350,-2.78564,-2.733733892440796
ACH-000655,60750,-2.7123,-2.549136161804199
ACH-000655,387447,-4.712936,-4.798040866851807
ACH-000655,2733526,5.17812,4.098381042480469
ACH-000655,104741,3.277327,3.2265405654907227
ACH-000655,56962336,6.251388,5.392404079437256
ACH-000655,44632017,3.104874,3.274705171585083
ACH-000655,9813758,3.457091,3.5634963512420654
ACH-000655,25099184,2.354236,2.548032283782959
ACH-000655,51039095,2.721679,2.948680877685547
ACH-000655,24821094,5.953357,5.324500560760498
ACH-000655,70983932,6.052582,5.552913665771484
ACH-000655,46236925,-1.150594,-0.47498616576194763
ACH-000655,11655119,4.602583,5.447543144226074
ACH-000655,35397514,4.638103,4.785628318786621
ACH-000655,2802462,5.331235,5.146122932434082
