cell,drug,true_ic50,predicted_ic50
ACH-000655,126565,0.812129,1.3552379608154297
ACH-000655,176158,4.637911,5.440199851989746
ACH-000655,6505803,0.63951,1.193083643913269
ACH-000655,5311497,-2.587732,-3.0596635341644287
ACH-000655,11667893,5.972451,5.820541858673096
ACH-000655,5278396,5.718763,5.559706211090088
ACH-000655,10184653,1.857086,2.245744228363037
ACH-000655,24776445,5.110894,5.488353729248047
ACH-000655,24180719,4.990863,4.897280693054199
ACH-000655,11327430,4.252029,4.1719441413879395
ACH-000655,16720766,1.527268,1.520589828491211
ACH-000655,11488320,4.387899,5.085498809814453
ACH-000655,156422,5.087093,5.737382888793945
ACH-000655,11624601,5.502396,5.696392059326172
ACH-000655,51042438,4.452633,4.208939075469971
ACH-000655,24737642,5.254628,5.265380859375
ACH-000655,10384072,3.044659,3.1168296337127686
ACH-000655,11433190,6.492789,5.82126522064209
ACH-000655,208908,4.086126,4.177967548370361
ACH-000655,1401,4.200543,4.2304840087890625
ACH-000655,9914412,3.586314,2.7948107719421387
ACH-000655,24771867,1.223707,1.7871246337890625
ACH-000655,56649450,4.467967,4.427768230438232
ACH-000655,46930998,3.73446,4.143937587738037
ACH-000655,5330286,4.898682,4.797741889953613
ACH-000655,51001932,2.788018,3.537999153137207
ACH-000655,57345410,6.045261,5.914724349975586
ACH-000655,11977753,-0.468857,-0.391498327255249
ACH-000655,17755052,2.188399,2.184455156326294
ACH-000655,25262965,0.863816,0.7230685949325562
ACH-000655,9826528,3.39196,3.3949906826019287
ACH-000655,24866313,3.359203,4.012242794036865
ACH-000655,10127622,4.906826,4.747089862823486
ACH-000655,9927531,4.3547,5.296489715576172
ACH-000655,2155128,2.533434,3.0359933376312256
ACH-000655,3899,5.298367,5.140344619750977
ACH-000655,2314623,6.03347,5.576576232910156
ACH-000655,11404337,0.604621,0.4949846565723419
ACH-000655,9938202,3.869864,3.8742263317108154
ACH-000655,25227847,2.393474,3.4115469455718994
ACH-000655,46883536,5.537355,5.376758575439453
ACH-000655,3385,6.625184,5.536098480224609
ACH-000655,68947304,3.918856,5.2302165031433105
ACH-000655,11634725,5.093731,4.305768013000488
ACH-000655,16224745,3.026915,3.514265775680542
ACH-000655,3062316,1.521252,1.352656602859497
ACH-000655,36314,-3.237313,-3.0346648693084717
ACH-000655,4261,1.784395,2.585733652114868
ACH-000655,11626560,3.175411,3.6347076892852783
ACH-000655,118704762,3.940669,5.548281669616699
ACH-000655,216239,2.840967,2.878809690475464
ACH-000655,11364421,0.838099,1.5593595504760742
ACH-000655,46926973,4.804185,4.542026519775391
ACH-000655,60838,2.296121,1.9861738681793213
ACH-000655,5310940,3.350234,4.630364418029785
ACH-000655,117072552,4.63292,5.1468305587768555
ACH-000655,51000408,4.717392,5.086835861206055
ACH-000655,25124816,4.829075,4.561895370483398
ACH-000655,59472121,4.130124,4.066815376281738
ACH-000655,72200024,4.033405,4.234199047088623
ACH-000655,42623951,5.276076,5.32158899307251
ACH-000655,49847690,2.331732,2.0842995643615723
ACH-000655,53469448,3.803234,3.8650848865509033
ACH-000655,78243717,5.982389,5.524451732635498
ACH-000655,24753719,3.849781,4.432866096496582
ACH-000655,57519544,4.171766,4.634555816650391
ACH-000655,46943432,4.98947,4.685422897338867
ACH-000655,9936746,4.631933,4.2467427253723145
ACH-000655,71268957,3.2629,3.1473019123077393
ACH-000655,60167849,4.701675,4.787802219390869
ACH-000655,59473233,3.812141,3.594515085220337
ACH-000655,44462758,3.741592,3.492471218109131
ACH-000655,44631912,3.815706,4.50565767288208
ACH-000655,71299339,5.095504,4.70356559753418
ACH-000655,1018,5.653081,5.461292743682861
ACH-000655,52918385,6.807911,4.421193599700928
ACH-000655,11609586,5.348747,4.703097343444824
ACH-000655,42642645,1.70689,1.5403468608856201
ACH-000655,46907787,4.832416,4.5204176902771
ACH-000655,71271629,4.916897,4.899867534637451
ACH-000655,56962337,2.270075,2.2471261024475098
ACH-000655,176870,2.994686,3.1908280849456787
ACH-000655,9931953,5.023772,4.6113200187683105
ACH-000655,24958200,4.3641,3.758415460586548
ACH-000655,24856436,1.600925,1.6562349796295166
ACH-000655,46926350,-2.78564,-2.31111741065979
ACH-000655,60750,-2.7123,-2.473255157470703
ACH-000655,387447,-4.712936,-4.239996433258057
ACH-000655,2733526,5.17812,4.470554351806641
ACH-000655,104741,3.277327,3.342794418334961
ACH-000655,56962336,6.251388,5.6423726081848145
ACH-000655,44632017,3.104874,3.1229426860809326
ACH-000655,9813758,3.457091,3.671825647354126
ACH-000655,25099184,2.354236,1.9562468528747559
ACH-000655,51039095,2.721679,2.7177164554595947
ACH-000655,24821094,5.953357,5.4999895095825195
ACH-000655,70983932,6.052582,5.763998985290527
ACH-000655,46236925,-1.150594,-0.3983525037765503
ACH-000655,11655119,4.602583,5.693939685821533
ACH-000655,35397514,4.638103,4.762190818786621
ACH-000655,2802462,5.331235,5.27908992767334
ACH-000655,462382,-1.554494,-1.1887729167938232
ACH-000655,11707110,2.190655,2.624194383621216
ACH-000655,44462760,6.07574,5.30284309387207
ACH-000655,5394,7.656902,6.791379928588867
ACH-000655,5460769,2.697334,1.085515022277832
ACH-000655,49846579,3.654386,4.079913139343262
ACH-000655,11228183,3.706565,3.899691343307495
ACH-000655,46843057,4.196929,4.126389503479004
ACH-000655,56645356,5.962621,5.234598159790039
ACH-000655,78209992,3.49727,3.557692766189575
ACH-000655,54761306,3.598486,3.60746693611145
ACH-000655,52913813,4.84679,4.625154972076416
ACH-000655,71496458,3.171682,2.4816060066223145
ACH-000655,9933475,3.946989,3.088648796081543
ACH-000655,24788740,4.793428,4.807827949523926
ACH-000655,56941241,5.697074,5.442094802856445
ACH-000655,70676303,1.579833,2.1561264991760254
ACH-000655,68107965,5.078309,5.478556156158447
ACH-000655,91668541,5.859508,4.950980186462402
ACH-000655,10385095,1.144545,0.66822350025177
ACH-000655,227681,6.313293,5.776110649108887
ACH-000655,9825149,2.995719,3.3469908237457275
ACH-000655,46931953,4.182327,5.164644718170166
ACH-000655,68289010,2.49998,2.575803279876709
ACH-000655,992586,3.663301,3.4561550617218018
ACH-000655,2984337,5.171508,3.963056802749634
ACH-000655,11178236,-6.051875,-5.290195465087891
ACH-000655,71297207,4.083537,4.754489898681641
ACH-000655,104842,-4.309603,-4.333914756774902
ACH-000655,25126798,5.055793,5.081087112426758
ACH-000655,11640390,5.235029,4.803514003753662
ACH-000655,41867,-0.49578,-0.5563417673110962
ACH-000655,2907,4.842215,5.593602657318115
ACH-000655,24360,-3.039969,-3.2572014331817627
ACH-000655,6710780,-4.119321,-4.174626350402832
ACH-000655,84691,2.309489,1.7400238513946533
ACH-000655,6253,2.574072,2.396310329437256
ACH-000655,148124,-4.106677,-4.773211479187012
ACH-000655,126941,-2.327864,-2.0544397830963135
ACH-000655,123631,3.381182,3.8045871257781982
ACH-000655,24978538,5.192491,3.7871148586273193
ACH-000655,5311,1.923807,2.3739497661590576
ACH-000655,644241,4.648317,4.127011775970459
ACH-000655,44182295,3.665646,3.7444639205932617
ACH-000655,6918289,1.605002,1.762772798538208
ACH-000655,23725625,4.123727,4.484004974365234
ACH-000655,11960529,5.450762,5.600232124328613
ACH-000655,5328940,2.734377,3.4951674938201904
ACH-000655,216326,6.039525,5.731597900390625
ACH-000655,6450551,3.294947,3.5971200466156006
ACH-000655,11152667,0.702486,1.1129262447357178
ACH-000655,9943465,4.259851,3.3527019023895264
ACH-000403,126565,0.471861,0.6101145148277283
ACH-000403,176158,3.739233,5.267877578735352
ACH-000403,6505803,-1.026908,0.012269705533981323
ACH-000403,5311497,-1.859531,-0.6251116394996643
ACH-000403,11667893,6.630016,6.648148536682129
ACH-000403,5278396,5.70876,5.567459583282471
ACH-000403,10184653,1.350956,0.6094430088996887
ACH-000403,24776445,6.575288,6.2807769775390625
ACH-000403,24180719,6.788903,5.723257064819336
ACH-000403,11327430,4.370832,2.879235029220581
ACH-000403,16720766,2.576992,2.6056606769561768
ACH-000403,11488320,2.108067,1.7256453037261963
ACH-000403,156422,5.907628,6.658921241760254
ACH-000403,11624601,5.512845,6.375910758972168
ACH-000403,51042438,0.592099,1.6648399829864502
ACH-000403,24737642,4.000741,5.350854396820068
ACH-000403,10384072,3.689186,4.017627239227295
ACH-000403,11433190,7.258145,5.875958442687988
ACH-000403,208908,2.373072,2.8278753757476807
ACH-000403,1401,4.530404,3.835078716278076
ACH-000403,9914412,2.469366,2.1828713417053223
ACH-000403,24771867,2.662515,2.8231074810028076
ACH-000403,56649450,2.134442,2.65403151512146
ACH-000403,46930998,2.586971,2.4333465099334717
ACH-000403,5330286,4.12152,4.504243850708008
ACH-000403,51001932,0.997581,0.48544469475746155
ACH-000403,57345410,5.975916,6.4971160888671875
ACH-000403,11977753,-1.832683,-1.3535926342010498
ACH-000403,17755052,1.076495,0.6855791211128235
ACH-000403,25262965,-0.914998,-0.5373228192329407
ACH-000403,9826528,-2.79156,-2.358874559402466
ACH-000403,24866313,-0.797768,-0.24028998613357544
ACH-000403,10127622,0.63145,0.9006903767585754
ACH-000403,9927531,6.368803,6.084261894226074
ACH-000403,2155128,4.193624,3.779878854751587
ACH-000403,3899,5.123964,5.478919982910156
ACH-000403,2314623,6.657455,6.077925682067871
ACH-000403,11404337,-0.193218,0.6596541404724121
ACH-000403,9938202,4.195452,5.067822456359863
ACH-000403,25227847,4.821277,4.519113540649414
ACH-000403,46883536,5.686911,5.716413497924805
ACH-000403,3385,4.979016,5.167659759521484
ACH-000403,68947304,6.015706,5.72946834564209
ACH-000403,11634725,1.374275,0.9259092211723328
ACH-000403,16224745,5.176198,5.0328779220581055
ACH-000403,3062316,-0.139873,-0.014413446187973022
ACH-000403,36314,0.830158,-0.7958202958106995
ACH-000403,4261,2.98601,2.071073293685913
ACH-000403,11626560,2.796516,2.694406509399414
ACH-000403,118704762,5.912198,5.826455116271973
ACH-000403,216239,3.145079,3.6338045597076416
ACH-000403,11364421,0.812,0.7425391674041748
ACH-000403,46926973,6.401495,5.609231948852539
ACH-000403,60838,5.393326,5.113121032714844
ACH-000403,5310940,4.765558,4.634305953979492
ACH-000403,117072552,5.490787,5.338735103607178
ACH-000403,51000408,5.344874,6.042614459991455
ACH-000403,25124816,5.041253,5.338679313659668
ACH-000403,59472121,4.943603,4.743701457977295
ACH-000403,72200024,3.22672,3.2253153324127197
ACH-000403,42623951,5.580378,5.767605781555176
ACH-000403,49847690,2.828363,2.8724892139434814
ACH-000403,53469448,5.600726,4.3518524169921875
ACH-000403,78243717,5.710757,5.938361167907715
ACH-000403,24753719,6.10648,5.343671798706055
ACH-000403,57519544,5.917151,4.863593101501465
ACH-000403,46943432,2.060701,1.6398186683654785
ACH-000403,9936746,1.748069,1.0105797052383423
ACH-000403,71268957,2.136878,3.1022472381591797
ACH-000403,60167849,5.182889,5.583727836608887
ACH-000403,59473233,4.954128,4.35105562210083
ACH-000403,44462758,2.804418,2.6173741817474365
ACH-000403,44631912,4.072822,4.14772367477417
ACH-000403,71299339,4.759155,4.952600479125977
ACH-000403,1018,6.357458,5.8512091636657715
ACH-000403,52918385,5.421894,5.810726642608643
ACH-000403,11609586,4.9737,4.892199993133545
ACH-000403,42642645,1.534806,1.3510425090789795
ACH-000403,46907787,1.082136,0.9490527510643005
ACH-000403,71271629,2.717179,3.304194688796997
ACH-000403,56962337,2.712756,2.577615737915039
ACH-000403,176870,1.021039,1.5028209686279297
ACH-000403,9931953,5.927292,5.380523681640625
ACH-000403,24958200,4.382941,5.135303020477295
ACH-000403,24856436,1.04882,1.127382516860962
ACH-000403,46926350,-1.50597,-1.4000420570373535
ACH-000403,60750,1.809953,1.8087947368621826
ACH-000403,387447,-4.715473,-4.946249961853027
ACH-000403,9858940,1.558907,1.4338223934173584
ACH-000403,2733526,3.46736,3.9850196838378906
ACH-000403,104741,3.857932,3.8871712684631348
ACH-000403,56962336,6.598383,6.227897644042969
ACH-000403,44632017,3.885482,3.6384544372558594
ACH-000403,9813758,3.384876,3.7295444011688232
ACH-000403,25099184,2.412524,2.5771477222442627
